,year,odometer,keterangan
0,2012.0,63500.0,Sangat Direkomendasikan
1,2016.0,10.0,Sangat Direkomendasikan
2,2015.0,7554.0,Sangat Direkomendasikan
3,2016.0,10.0,Sangat Direkomendasikan
4,2018.0,70150.0,Sangat Direkomendasikan
5,2009.0,120057.0,Kurang Direkomendasikan
6,2017.0,95484.0,Direkomendasikan
7,2007.0,89340.0,Kurang Direkomendasikan
8,2013.0,226031.0,Direkomendasikan
9,2012.0,128153.0,Direkomendasikan
10,1994.0,168838.0,Tidak Direkomendasikan
11,2013.0,156385.0,Direkomendasikan
12,2007.0,135287.0,Kurang Direkomendasikan
13,2015.0,73612.0,Sangat Direkomendasikan
14,2004.0,235790.0,Kurang Direkomendasikan
15,2014.0,158156.0,Direkomendasikan
16,2015.0,127515.0,Direkomendasikan
17,2002.0,179098.0,Kurang Direkomendasikan
18,2003.0,185220.0,Kurang Direkomendasikan
19,2019.0,20930.0,Sangat Direkomendasikan
20,2010.0,231570.0,Kurang Direkomendasikan
21,2008.0,75000.0,Kurang Direkomendasikan
24,2008.0,110982.0,Sangat Direkomendasikan
25,2014.0,93242.0,Sangat Direkomendasikan
27,2015.0,68013.0,Tidak Direkomendasikan
28,2016.0,23773.0,Sangat Direkomendasikan
29,2016.0,28000.0,Sangat Direkomendasikan
30,1992.0,13000.0,Direkomendasikan
32,2017.0,21125.0,Sangat Direkomendasikan
35,2015.0,41245.0,Sangat Direkomendasikan
36,2011.0,80855.0,Sangat Direkomendasikan
37,2016.0,58103.0,Sangat Direkomendasikan
38,2018.0,11892.0,Sangat Direkomendasikan
39,1999.0,215349.0,Sangat Direkomendasikan
40,2015.0,42649.0,Sangat Direkomendasikan
41,2018.0,10683.0,Sangat Direkomendasikan
42,2017.0,81130.0,Tidak Direkomendasikan
43,2013.0,63842.0,Direkomendasikan
44,2016.0,10.0,Sangat Direkomendasikan
45,2016.0,10.0,Sangat Direkomendasikan
46,2014.0,8543.0,Sangat Direkomendasikan
47,2010.0,37700.0,Sangat Direkomendasikan
48,2004.0,67348.0,Sangat Direkomendasikan
49,2014.0,103252.0,Kurang Direkomendasikan
50,2014.0,79035.0,Sangat Direkomendasikan
51,2017.0,37152.0,Sangat Direkomendasikan
52,2015.0,37000.0,Sangat Direkomendasikan
53,2016.0,28000.0,Sangat Direkomendasikan
54,2013.0,65000.0,Kurang Direkomendasikan
57,2004.0,129000.0,Direkomendasikan
58,2019.0,8800.0,Sangat Direkomendasikan
59,2013.0,63425.0,Sangat Direkomendasikan
60,2016.0,19086.0,Kurang Direkomendasikan
61,2017.0,35000.0,Kurang Direkomendasikan
62,2010.0,75000.0,Sangat Direkomendasikan
63,2012.0,83000.0,Sangat Direkomendasikan
64,2008.0,164666.0,Sangat Direkomendasikan
65,2014.0,93452.0,Sangat Direkomendasikan
66,2014.0,58677.0,Sangat Direkomendasikan
68,2015.0,67425.0,Sangat Direkomendasikan
69,2010.0,262000.0,Direkomendasikan
70,2010.0,78728.0,Sangat Direkomendasikan
71,2011.0,48289.0,Tidak Direkomendasikan
72,2019.0,11092.0,Tidak Direkomendasikan
73,2016.0,28282.0,Sangat Direkomendasikan
74,2018.0,24469.0,Sangat Direkomendasikan
75,2016.0,14222.0,Sangat Direkomendasikan
76,2008.0,60004.0,Kurang Direkomendasikan
77,2014.0,68908.0,Sangat Direkomendasikan
78,2011.0,93157.0,Kurang Direkomendasikan
79,2016.0,55149.0,Kurang Direkomendasikan
80,2005.0,43524.0,Sangat Direkomendasikan
81,2004.0,55000.0,Sangat Direkomendasikan
83,2016.0,36959.0,Sangat Direkomendasikan
84,2017.0,70109.0,Tidak Direkomendasikan
85,2019.0,8871.0,Tidak Direkomendasikan
86,2010.0,115266.0,Sangat Direkomendasikan
87,2014.0,69260.0,Sangat Direkomendasikan
88,2004.0,113248.0,Sangat Direkomendasikan
90,2006.0,104421.0,Sangat Direkomendasikan
91,2015.0,75506.0,Sangat Direkomendasikan
92,2019.0,19558.0,Sangat Direkomendasikan
93,2019.0,8161.0,Sangat Direkomendasikan
94,2017.0,31336.0,Sangat Direkomendasikan
95,2004.0,46153.0,Sangat Direkomendasikan
96,2004.0,21274.0,Kurang Direkomendasikan
97,2019.0,10868.0,Sangat Direkomendasikan
98,2019.0,7974.0,Sangat Direkomendasikan
99,2017.0,35370.0,Direkomendasikan
100,2014.0,69614.0,Sangat Direkomendasikan
101,2016.0,18949.0,Direkomendasikan
102,2018.0,34238.0,Sangat Direkomendasikan
103,2017.0,46578.0,Sangat Direkomendasikan
104,2019.0,19548.0,Sangat Direkomendasikan
105,2019.0,24008.0,Sangat Direkomendasikan
106,2016.0,10.0,Sangat Direkomendasikan
107,2004.0,150523.0,Sangat Direkomendasikan
108,2016.0,10.0,Sangat Direkomendasikan
109,2015.0,65000.0,Sangat Direkomendasikan
110,2013.0,116083.0,Sangat Direkomendasikan
111,2018.0,9389.0,Tidak Direkomendasikan
112,2011.0,110000.0,Sangat Direkomendasikan
114,2013.0,32000.0,Sangat Direkomendasikan
115,2017.0,39000.0,Sangat Direkomendasikan
116,2012.0,61000.0,Sangat Direkomendasikan
117,2011.0,29000.0,Sangat Direkomendasikan
118,2014.0,76000.0,Kurang Direkomendasikan
119,2018.0,22000.0,Sangat Direkomendasikan
120,2016.0,56000.0,Sangat Direkomendasikan
121,2016.0,59000.0,Sangat Direkomendasikan
122,2015.0,56000.0,Sangat Direkomendasikan
123,2005.0,43000.0,Sangat Direkomendasikan
124,2014.0,49000.0,Direkomendasikan
125,2017.0,5000.0,Direkomendasikan
126,2019.0,2890.0,Sangat Direkomendasikan
127,2016.0,54252.0,Kurang Direkomendasikan
128,2011.0,66328.0,Direkomendasikan
130,2019.0,14649.0,Sangat Direkomendasikan
132,2005.0,159626.0,Direkomendasikan
133,2017.0,32537.0,Kurang Direkomendasikan
135,2016.0,38086.0,Sangat Direkomendasikan
136,2018.0,20283.0,Direkomendasikan
137,2010.0,28656.0,Kurang Direkomendasikan
138,2018.0,34388.0,Direkomendasikan
139,2011.0,135529.0,Kurang Direkomendasikan
140,2013.0,81226.0,Kurang Direkomendasikan
141,2015.0,29475.0,Kurang Direkomendasikan
142,2007.0,48130.0,Kurang Direkomendasikan
143,2015.0,126520.0,Direkomendasikan
145,2012.0,108437.0,Kurang Direkomendasikan
146,2018.0,33565.0,Sangat Direkomendasikan
147,2016.0,33293.0,Direkomendasikan
148,2015.0,216694.0,Tidak Direkomendasikan
149,2010.0,123352.0,Tidak Direkomendasikan
152,2010.0,61700.0,Direkomendasikan
153,2015.0,51712.0,Kurang Direkomendasikan
154,2012.0,99587.0,Kurang Direkomendasikan
155,2004.0,201312.0,Kurang Direkomendasikan
156,2012.0,314464.0,Kurang Direkomendasikan
157,2003.0,209000.0,Kurang Direkomendasikan
158,2008.0,89869.0,Kurang Direkomendasikan
160,2009.0,134031.0,Sangat Direkomendasikan
161,2008.0,200000.0,Kurang Direkomendasikan
162,2015.0,100616.0,Sangat Direkomendasikan
163,2014.0,32000.0,Direkomendasikan
164,2006.0,196000.0,Tidak Direkomendasikan
165,2017.0,39106.0,Sangat Direkomendasikan
166,2013.0,119000.0,Sangat Direkomendasikan
167,1999.0,75400.0,Sangat Direkomendasikan
170,2004.0,74000.0,Sangat Direkomendasikan
172,2004.0,133287.0,Direkomendasikan
174,2004.0,98000.0,Sangat Direkomendasikan
175,2013.0,130423.0,Kurang Direkomendasikan
176,2002.0,194956.0,Kurang Direkomendasikan
177,2007.0,77580.0,Tidak Direkomendasikan
178,2006.0,162033.0,Sangat Direkomendasikan
179,2009.0,191538.0,Kurang Direkomendasikan
180,2008.0,176353.0,Direkomendasikan
181,2006.0,133000.0,Direkomendasikan
182,2006.0,129046.0,Direkomendasikan
184,2015.0,30680.0,Direkomendasikan
186,2010.0,135536.0,Direkomendasikan
191,2016.0,46850.0,Sangat Direkomendasikan
192,2013.0,116500.0,Sangat Direkomendasikan
193,1999.0,135000.0,Sangat Direkomendasikan
194,2014.0,78954.0,Direkomendasikan
195,2016.0,50824.0,Sangat Direkomendasikan
197,2015.0,75915.0,Direkomendasikan
198,2013.0,66800.0,Kurang Direkomendasikan
200,2008.0,224878.0,Sangat Direkomendasikan
201,2017.0,51300.0,Direkomendasikan
202,2017.0,12340.0,Direkomendasikan
203,2012.0,151000.0,Direkomendasikan
204,1998.0,187000.0,Direkomendasikan
206,2014.0,79187.0,Kurang Direkomendasikan
207,2008.0,163658.0,Sangat Direkomendasikan
208,2007.0,165000.0,Sangat Direkomendasikan
209,2001.0,78000.0,Sangat Direkomendasikan
210,2012.0,69502.0,Sangat Direkomendasikan
211,2008.0,130535.0,Direkomendasikan
212,2013.0,85111.0,Sangat Direkomendasikan
213,2012.0,140776.0,Sangat Direkomendasikan
214,2014.0,106696.0,Sangat Direkomendasikan
215,2013.0,26473.0,Sangat Direkomendasikan
216,2012.0,82882.0,Sangat Direkomendasikan
217,2016.0,54489.0,Kurang Direkomendasikan
218,2012.0,101172.0,Kurang Direkomendasikan
219,2004.0,203972.0,Kurang Direkomendasikan
220,2015.0,69699.0,Direkomendasikan
221,2004.0,132920.0,Kurang Direkomendasikan
222,2016.0,57645.0,Kurang Direkomendasikan
223,2015.0,54322.0,Sangat Direkomendasikan
224,2018.0,17082.0,Sangat Direkomendasikan
225,2015.0,63380.0,Direkomendasikan
226,2013.0,111060.0,Kurang Direkomendasikan
227,2014.0,66747.0,Sangat Direkomendasikan
228,2012.0,96293.0,Kurang Direkomendasikan
229,2015.0,88244.0,Sangat Direkomendasikan
230,2008.0,139400.0,Kurang Direkomendasikan
231,2015.0,27730.0,Kurang Direkomendasikan
232,2015.0,62751.0,Sangat Direkomendasikan
233,2012.0,103117.0,Tidak Direkomendasikan
234,2014.0,85961.0,Direkomendasikan
235,2012.0,106169.0,Kurang Direkomendasikan
236,2012.0,166594.0,Kurang Direkomendasikan
237,2017.0,30853.0,Kurang Direkomendasikan
238,2009.0,134561.0,Kurang Direkomendasikan
239,2019.0,13624.0,Sangat Direkomendasikan
240,2015.0,61774.0,Sangat Direkomendasikan
241,2019.0,12621.0,Direkomendasikan
242,2016.0,59645.0,Sangat Direkomendasikan
243,2013.0,154852.0,Kurang Direkomendasikan
244,2015.0,64438.0,Sangat Direkomendasikan
245,2017.0,64377.0,Tidak Direkomendasikan
246,2017.0,31034.0,Kurang Direkomendasikan
247,2016.0,27737.0,Sangat Direkomendasikan
248,2016.0,87000.0,Sangat Direkomendasikan
250,2005.0,130940.0,Sangat Direkomendasikan
252,2008.0,131000.0,Kurang Direkomendasikan
254,2006.0,148000.0,Kurang Direkomendasikan
255,2013.0,89000.0,Sangat Direkomendasikan
256,2004.0,127465.0,Sangat Direkomendasikan
257,2006.0,97205.0,Tidak Direkomendasikan
258,2014.0,34265.0,Sangat Direkomendasikan
259,2015.0,43125.0,Kurang Direkomendasikan
260,2011.0,150505.0,Tidak Direkomendasikan
261,2008.0,77235.0,Sangat Direkomendasikan
263,2016.0,34000.0,Kurang Direkomendasikan
268,2007.0,98430.0,Tidak Direkomendasikan
269,2014.0,65000.0,Tidak Direkomendasikan
270,1999.0,258000.0,Kurang Direkomendasikan
272,1997.0,250000.0,Kurang Direkomendasikan
273,2017.0,40000.0,Kurang Direkomendasikan
274,1993.0,127000.0,Kurang Direkomendasikan
275,2011.0,109050.0,Kurang Direkomendasikan
277,1998.0,214048.0,Direkomendasikan
279,2003.0,315000.0,Direkomendasikan
280,2008.0,170909.0,Sangat Direkomendasikan
281,2007.0,148411.0,Kurang Direkomendasikan
282,2015.0,65731.0,Sangat Direkomendasikan
283,2017.0,39238.0,Sangat Direkomendasikan
284,2011.0,190330.0,Sangat Direkomendasikan
285,2016.0,75186.0,Tidak Direkomendasikan
286,2008.0,119433.0,Direkomendasikan
287,2016.0,47639.0,Sangat Direkomendasikan
288,2001.0,53393.0,Sangat Direkomendasikan
289,2008.0,140500.0,Sangat Direkomendasikan
290,2015.0,51197.0,Sangat Direkomendasikan
291,2016.0,83459.0,Kurang Direkomendasikan
292,2018.0,38446.0,Kurang Direkomendasikan
293,2015.0,48201.0,Direkomendasikan
294,2010.0,173000.0,Direkomendasikan
296,2010.0,127863.0,Kurang Direkomendasikan
297,1997.0,79420.0,Sangat Direkomendasikan
298,2009.0,71843.0,Sangat Direkomendasikan
299,2016.0,41859.0,Direkomendasikan
300,2016.0,42866.0,Sangat Direkomendasikan
301,2001.0,53000.0,Sangat Direkomendasikan
302,2014.0,37665.0,Tidak Direkomendasikan
303,2005.0,200960.0,Sangat Direkomendasikan
304,1997.0,34500.0,Sangat Direkomendasikan
305,2012.0,8257.0,Kurang Direkomendasikan
306,2005.0,66011.0,Direkomendasikan
307,2007.0,146706.0,Direkomendasikan
308,2009.0,53577.0,Sangat Direkomendasikan
309,2002.0,191400.0,Sangat Direkomendasikan
310,2005.0,127365.0,Kurang Direkomendasikan
313,1999.0,131850.0,Kurang Direkomendasikan
314,1999.0,157400.0,Tidak Direkomendasikan
315,1997.0,100200.0,Tidak Direkomendasikan
316,2002.0,128000.0,Tidak Direkomendasikan
317,2005.0,214000.0,Direkomendasikan
318,2007.0,175000.0,Kurang Direkomendasikan
319,2005.0,171000.0,Kurang Direkomendasikan
320,2008.0,89923.0,Kurang Direkomendasikan
